dataelement,period,orgunit,catoptcombo,attroptcombo,value,storedby,lastupd,comment
ylix2LAjxhg,20210731,WKBa4jufxAL,FyizXcB289a,H4eiCaIeZQR,993,,,
ylix2LAjxhg,20210731,fIkkmz67QmR,FyizXcB289a,H4eiCaIeZQR,519,,,
ylix2LAjxhg,20210731,ewUgN5vdakS,FyizXcB289a,H4eiCaIeZQR,408,,,
ylix2LAjxhg,20210731,WYjrgg8pNJG,FyizXcB289a,H4eiCaIeZQR,263,,,
ylix2LAjxhg,20210731,oKRDJgPYyGs,FyizXcB289a,H4eiCaIeZQR,303,,,
ylix2LAjxhg,20210731,rb1hxc5BXUq,FyizXcB289a,H4eiCaIeZQR,613,,,
ylix2LAjxhg,20210731,U2e0Em0PoHU,FyizXcB289a,H4eiCaIeZQR,348,,,
ylix2LAjxhg,20210731,Ml4vtfj16Zw,FyizXcB289a,H4eiCaIeZQR,472,,,
ylix2LAjxhg,20210731,sR2V8vkNOPe,FyizXcB289a,H4eiCaIeZQR,307,,,
sQlcXXTHE4y,20210731,WKBa4jufxAL,FyizXcB289a,H4eiCaIeZQR,984,,,
sQlcXXTHE4y,20210731,fIkkmz67QmR,FyizXcB289a,H4eiCaIeZQR,512,,,
sQlcXXTHE4y,20210731,ewUgN5vdakS,FyizXcB289a,H4eiCaIeZQR,394,,,
sQlcXXTHE4y,20210731,WYjrgg8pNJG,FyizXcB289a,H4eiCaIeZQR,256,,,
sQlcXXTHE4y,20210731,oKRDJgPYyGs,FyizXcB289a,H4eiCaIeZQR,302,,,
sQlcXXTHE4y,20210731,rb1hxc5BXUq,FyizXcB289a,H4eiCaIeZQR,607,,,
sQlcXXTHE4y,20210731,U2e0Em0PoHU,FyizXcB289a,H4eiCaIeZQR,337,,,
sQlcXXTHE4y,20210731,Ml4vtfj16Zw,FyizXcB289a,H4eiCaIeZQR,466,,,
sQlcXXTHE4y,20210731,sR2V8vkNOPe,FyizXcB289a,H4eiCaIeZQR,296,,,
T5yXrDEuwzL,20210731,WKBa4jufxAL,FyizXcB289a,H4eiCaIeZQR,5605,,,
T5yXrDEuwzL,20210731,fIkkmz67QmR,FyizXcB289a,H4eiCaIeZQR,3833,,,
T5yXrDEuwzL,20210731,ewUgN5vdakS,FyizXcB289a,H4eiCaIeZQR,1086,,,
T5yXrDEuwzL,20210731,WYjrgg8pNJG,FyizXcB289a,H4eiCaIeZQR,852,,,
T5yXrDEuwzL,20210731,oKRDJgPYyGs,FyizXcB289a,H4eiCaIeZQR,922,,,
T5yXrDEuwzL,20210731,rb1hxc5BXUq,FyizXcB289a,H4eiCaIeZQR,1770,,,
T5yXrDEuwzL,20210731,U2e0Em0PoHU,FyizXcB289a,H4eiCaIeZQR,769,,,
T5yXrDEuwzL,20210731,Ml4vtfj16Zw,FyizXcB289a,H4eiCaIeZQR,748,,,
T5yXrDEuwzL,20210731,sR2V8vkNOPe,FyizXcB289a,H4eiCaIeZQR,561,,,
F7neHTcKur5,20210731,WKBa4jufxAL,FyizXcB289a,H4eiCaIeZQR,3831,,,
F7neHTcKur5,20210731,fIkkmz67QmR,FyizXcB289a,H4eiCaIeZQR,3099,,,
F7neHTcKur5,20210731,ewUgN5vdakS,FyizXcB289a,H4eiCaIeZQR,970,,,
F7neHTcKur5,20210731,WYjrgg8pNJG,FyizXcB289a,H4eiCaIeZQR,674,,,
F7neHTcKur5,20210731,oKRDJgPYyGs,FyizXcB289a,H4eiCaIeZQR,748,,,
F7neHTcKur5,20210731,rb1hxc5BXUq,FyizXcB289a,H4eiCaIeZQR,1718,,,
F7neHTcKur5,20210731,U2e0Em0PoHU,FyizXcB289a,H4eiCaIeZQR,699,,,
F7neHTcKur5,20210731,Ml4vtfj16Zw,FyizXcB289a,H4eiCaIeZQR,733,,,
F7neHTcKur5,20210731,sR2V8vkNOPe,FyizXcB289a,H4eiCaIeZQR,482,,,
pVrVmrRU0cz,20210731,WKBa4jufxAL,FyizXcB289a,H4eiCaIeZQR,12617,,,
pVrVmrRU0cz,20210731,fIkkmz67QmR,FyizXcB289a,H4eiCaIeZQR,3527,,,
pVrVmrRU0cz,20210731,ewUgN5vdakS,FyizXcB289a,H4eiCaIeZQR,1460,,,
pVrVmrRU0cz,20210731,WYjrgg8pNJG,FyizXcB289a,H4eiCaIeZQR,3279,,,
pVrVmrRU0cz,20210731,oKRDJgPYyGs,FyizXcB289a,H4eiCaIeZQR,2540,,,
pVrVmrRU0cz,20210731,rb1hxc5BXUq,FyizXcB289a,H4eiCaIeZQR,5605,,,
pVrVmrRU0cz,20210731,U2e0Em0PoHU,FyizXcB289a,H4eiCaIeZQR,2526,,,
pVrVmrRU0cz,20210731,Ml4vtfj16Zw,FyizXcB289a,H4eiCaIeZQR,3979,,,
pVrVmrRU0cz,20210731,sR2V8vkNOPe,FyizXcB289a,H4eiCaIeZQR,1110,,,
bdsQugL5p5B,20210731,WKBa4jufxAL,FyizXcB289a,H4eiCaIeZQR,8723,,,
bdsQugL5p5B,20210731,fIkkmz67QmR,FyizXcB289a,H4eiCaIeZQR,3510,,,
bdsQugL5p5B,20210731,ewUgN5vdakS,FyizXcB289a,H4eiCaIeZQR,1244,,,
bdsQugL5p5B,20210731,WYjrgg8pNJG,FyizXcB289a,H4eiCaIeZQR,1921,,,
bdsQugL5p5B,20210731,oKRDJgPYyGs,FyizXcB289a,H4eiCaIeZQR,1451,,,
bdsQugL5p5B,20210731,rb1hxc5BXUq,FyizXcB289a,H4eiCaIeZQR,3848,,,
bdsQugL5p5B,20210731,U2e0Em0PoHU,FyizXcB289a,H4eiCaIeZQR,1696,,,
bdsQugL5p5B,20210731,Ml4vtfj16Zw,FyizXcB289a,H4eiCaIeZQR,2316,,,
bdsQugL5p5B,20210731,sR2V8vkNOPe,FyizXcB289a,H4eiCaIeZQR,926,,,
ckea6dwOmvC,20210731,WKBa4jufxAL,EwkNM8BCPfB,H4eiCaIeZQR,94853,,,
ckea6dwOmvC,20210731,fIkkmz67QmR,EwkNM8BCPfB,H4eiCaIeZQR,71428,,,
ckea6dwOmvC,20210731,ewUgN5vdakS,EwkNM8BCPfB,H4eiCaIeZQR,38096,,,
ckea6dwOmvC,20210731,WYjrgg8pNJG,EwkNM8BCPfB,H4eiCaIeZQR,23249,,,
ckea6dwOmvC,20210731,oKRDJgPYyGs,EwkNM8BCPfB,H4eiCaIeZQR,21124,,,
ckea6dwOmvC,20210731,rb1hxc5BXUq,EwkNM8BCPfB,H4eiCaIeZQR,48188,,,
ckea6dwOmvC,20210731,U2e0Em0PoHU,EwkNM8BCPfB,H4eiCaIeZQR,21700,,,
ckea6dwOmvC,20210731,Ml4vtfj16Zw,EwkNM8BCPfB,H4eiCaIeZQR,21018,,,
ckea6dwOmvC,20210731,sR2V8vkNOPe,EwkNM8BCPfB,H4eiCaIeZQR,19257,,,
WahwaU72IoA,20210731,WKBa4jufxAL,EwkNM8BCPfB,H4eiCaIeZQR,6,,,
WahwaU72IoA,20210731,fIkkmz67QmR,EwkNM8BCPfB,H4eiCaIeZQR,16,,,
WahwaU72IoA,20210731,ewUgN5vdakS,EwkNM8BCPfB,H4eiCaIeZQR,3,,,
WahwaU72IoA,20210731,WYjrgg8pNJG,EwkNM8BCPfB,H4eiCaIeZQR,7,,,
WahwaU72IoA,20210731,oKRDJgPYyGs,EwkNM8BCPfB,H4eiCaIeZQR,,,,
WahwaU72IoA,20210731,rb1hxc5BXUq,EwkNM8BCPfB,H4eiCaIeZQR,87,,,
WahwaU72IoA,20210731,U2e0Em0PoHU,EwkNM8BCPfB,H4eiCaIeZQR,8,,,
WahwaU72IoA,20210731,Ml4vtfj16Zw,EwkNM8BCPfB,H4eiCaIeZQR,,,,
WahwaU72IoA,20210731,sR2V8vkNOPe,EwkNM8BCPfB,H4eiCaIeZQR,,,,
ckea6dwOmvC,20210731,WKBa4jufxAL,KKiWIWC1uqV,H4eiCaIeZQR,40337,,,
ckea6dwOmvC,20210731,fIkkmz67QmR,KKiWIWC1uqV,H4eiCaIeZQR,36549,,,
ckea6dwOmvC,20210731,ewUgN5vdakS,KKiWIWC1uqV,H4eiCaIeZQR,12222,,,
ckea6dwOmvC,20210731,WYjrgg8pNJG,KKiWIWC1uqV,H4eiCaIeZQR,9651,,,
ckea6dwOmvC,20210731,oKRDJgPYyGs,KKiWIWC1uqV,H4eiCaIeZQR,7822,,,
ckea6dwOmvC,20210731,rb1hxc5BXUq,KKiWIWC1uqV,H4eiCaIeZQR,24296,,,
ckea6dwOmvC,20210731,U2e0Em0PoHU,KKiWIWC1uqV,H4eiCaIeZQR,8857,,,
ckea6dwOmvC,20210731,Ml4vtfj16Zw,KKiWIWC1uqV,H4eiCaIeZQR,8535,,,
ckea6dwOmvC,20210731,sR2V8vkNOPe,KKiWIWC1uqV,H4eiCaIeZQR,6845,,,
WahwaU72IoA,20210731,WKBa4jufxAL,KKiWIWC1uqV,H4eiCaIeZQR,26024,,,
WahwaU72IoA,20210731,fIkkmz67QmR,KKiWIWC1uqV,H4eiCaIeZQR,24754,,,
WahwaU72IoA,20210731,ewUgN5vdakS,KKiWIWC1uqV,H4eiCaIeZQR,10813,,,
WahwaU72IoA,20210731,WYjrgg8pNJG,KKiWIWC1uqV,H4eiCaIeZQR,5858,,,
WahwaU72IoA,20210731,oKRDJgPYyGs,KKiWIWC1uqV,H4eiCaIeZQR,4017,,,
WahwaU72IoA,20210731,rb1hxc5BXUq,KKiWIWC1uqV,H4eiCaIeZQR,18266,,,
WahwaU72IoA,20210731,U2e0Em0PoHU,KKiWIWC1uqV,H4eiCaIeZQR,5305,,,
WahwaU72IoA,20210731,Ml4vtfj16Zw,KKiWIWC1uqV,H4eiCaIeZQR,6136,,,
WahwaU72IoA,20210731,sR2V8vkNOPe,KKiWIWC1uqV,H4eiCaIeZQR,3302,,,
ckea6dwOmvC,20210731,WKBa4jufxAL,JXVcE6fAS1Y,H4eiCaIeZQR,17011,,,
ckea6dwOmvC,20210731,fIkkmz67QmR,JXVcE6fAS1Y,H4eiCaIeZQR,4669,,,
ckea6dwOmvC,20210731,ewUgN5vdakS,JXVcE6fAS1Y,H4eiCaIeZQR,12822,,,
ckea6dwOmvC,20210731,WYjrgg8pNJG,JXVcE6fAS1Y,H4eiCaIeZQR,5661,,,
ckea6dwOmvC,20210731,oKRDJgPYyGs,JXVcE6fAS1Y,H4eiCaIeZQR,4188,,,
ckea6dwOmvC,20210731,rb1hxc5BXUq,JXVcE6fAS1Y,H4eiCaIeZQR,4235,,,
ckea6dwOmvC,20210731,U2e0Em0PoHU,JXVcE6fAS1Y,H4eiCaIeZQR,4913,,,
ckea6dwOmvC,20210731,Ml4vtfj16Zw,JXVcE6fAS1Y,H4eiCaIeZQR,5370,,,
ckea6dwOmvC,20210731,sR2V8vkNOPe,JXVcE6fAS1Y,H4eiCaIeZQR,2970,,,
WahwaU72IoA,20210731,WKBa4jufxAL,JXVcE6fAS1Y,H4eiCaIeZQR,15800,,,
WahwaU72IoA,20210731,fIkkmz67QmR,JXVcE6fAS1Y,H4eiCaIeZQR,7391,,,
WahwaU72IoA,20210731,ewUgN5vdakS,JXVcE6fAS1Y,H4eiCaIeZQR,8780,,,
WahwaU72IoA,20210731,WYjrgg8pNJG,JXVcE6fAS1Y,H4eiCaIeZQR,4463,,,
WahwaU72IoA,20210731,oKRDJgPYyGs,JXVcE6fAS1Y,H4eiCaIeZQR,2722,,,
WahwaU72IoA,20210731,rb1hxc5BXUq,JXVcE6fAS1Y,H4eiCaIeZQR,4162,,,
WahwaU72IoA,20210731,U2e0Em0PoHU,JXVcE6fAS1Y,H4eiCaIeZQR,3796,,,
WahwaU72IoA,20210731,Ml4vtfj16Zw,JXVcE6fAS1Y,H4eiCaIeZQR,4610,,,
WahwaU72IoA,20210731,sR2V8vkNOPe,JXVcE6fAS1Y,H4eiCaIeZQR,2277,,,
As3mznUogRZ,20210731,WKBa4jufxAL,FyizXcB289a,H4eiCaIeZQR,20378,,,
As3mznUogRZ,20210731,fIkkmz67QmR,FyizXcB289a,H4eiCaIeZQR,13961,,,
As3mznUogRZ,20210731,ewUgN5vdakS,FyizXcB289a,H4eiCaIeZQR,8297,,,
As3mznUogRZ,20210731,WYjrgg8pNJG,FyizXcB289a,H4eiCaIeZQR,4959,,,
As3mznUogRZ,20210731,oKRDJgPYyGs,FyizXcB289a,H4eiCaIeZQR,4064,,,
As3mznUogRZ,20210731,rb1hxc5BXUq,FyizXcB289a,H4eiCaIeZQR,10736,,,
As3mznUogRZ,20210731,U2e0Em0PoHU,FyizXcB289a,H4eiCaIeZQR,4650,,,
As3mznUogRZ,20210731,Ml4vtfj16Zw,FyizXcB289a,H4eiCaIeZQR,5080,,,
As3mznUogRZ,20210731,sR2V8vkNOPe,FyizXcB289a,H4eiCaIeZQR,3481,,,
qOYSeBL4AXZ,20210731,WKBa4jufxAL,FyizXcB289a,H4eiCaIeZQR,952,,,
qOYSeBL4AXZ,20210731,fIkkmz67QmR,FyizXcB289a,H4eiCaIeZQR,891,,,
qOYSeBL4AXZ,20210731,ewUgN5vdakS,FyizXcB289a,H4eiCaIeZQR,304,,,
qOYSeBL4AXZ,20210731,WYjrgg8pNJG,FyizXcB289a,H4eiCaIeZQR,275,,,
qOYSeBL4AXZ,20210731,oKRDJgPYyGs,FyizXcB289a,H4eiCaIeZQR,268,,,
qOYSeBL4AXZ,20210731,rb1hxc5BXUq,FyizXcB289a,H4eiCaIeZQR,385,,,
qOYSeBL4AXZ,20210731,U2e0Em0PoHU,FyizXcB289a,H4eiCaIeZQR,200,,,
qOYSeBL4AXZ,20210731,Ml4vtfj16Zw,FyizXcB289a,H4eiCaIeZQR,149,,,
qOYSeBL4AXZ,20210731,sR2V8vkNOPe,FyizXcB289a,H4eiCaIeZQR,142,,,
ylix2LAjxhg,20210731,WKBa4jufxAL,iESY4hP4ZJe,H4eiCaIeZQR,89,,,
ylix2LAjxhg,20210731,fIkkmz67QmR,iESY4hP4ZJe,H4eiCaIeZQR,87,,,
ylix2LAjxhg,20210731,ewUgN5vdakS,iESY4hP4ZJe,H4eiCaIeZQR,,,,
ylix2LAjxhg,20210731,WYjrgg8pNJG,iESY4hP4ZJe,H4eiCaIeZQR,,,,
ylix2LAjxhg,20210731,oKRDJgPYyGs,iESY4hP4ZJe,H4eiCaIeZQR,,,,
ylix2LAjxhg,20210731,rb1hxc5BXUq,iESY4hP4ZJe,H4eiCaIeZQR,,,,
ylix2LAjxhg,20210731,U2e0Em0PoHU,iESY4hP4ZJe,H4eiCaIeZQR,,,,
ylix2LAjxhg,20210731,Ml4vtfj16Zw,iESY4hP4ZJe,H4eiCaIeZQR,8,,,
ylix2LAjxhg,20210731,sR2V8vkNOPe,iESY4hP4ZJe,H4eiCaIeZQR,,,,
sQlcXXTHE4y,20210731,WKBa4jufxAL,iESY4hP4ZJe,H4eiCaIeZQR,89,,,
sQlcXXTHE4y,20210731,fIkkmz67QmR,iESY4hP4ZJe,H4eiCaIeZQR,87,,,
sQlcXXTHE4y,20210731,ewUgN5vdakS,iESY4hP4ZJe,H4eiCaIeZQR,,,,
sQlcXXTHE4y,20210731,WYjrgg8pNJG,iESY4hP4ZJe,H4eiCaIeZQR,,,,
sQlcXXTHE4y,20210731,oKRDJgPYyGs,iESY4hP4ZJe,H4eiCaIeZQR,,,,
sQlcXXTHE4y,20210731,rb1hxc5BXUq,iESY4hP4ZJe,H4eiCaIeZQR,,,,
sQlcXXTHE4y,20210731,U2e0Em0PoHU,iESY4hP4ZJe,H4eiCaIeZQR,,,,
sQlcXXTHE4y,20210731,Ml4vtfj16Zw,iESY4hP4ZJe,H4eiCaIeZQR,8,,,
sQlcXXTHE4y,20210731,sR2V8vkNOPe,iESY4hP4ZJe,H4eiCaIeZQR,,,,
T5yXrDEuwzL,20210731,WKBa4jufxAL,iESY4hP4ZJe,H4eiCaIeZQR,,,,
T5yXrDEuwzL,20210731,fIkkmz67QmR,iESY4hP4ZJe,H4eiCaIeZQR,,,,
T5yXrDEuwzL,20210731,ewUgN5vdakS,iESY4hP4ZJe,H4eiCaIeZQR,,,,
T5yXrDEuwzL,20210731,WYjrgg8pNJG,iESY4hP4ZJe,H4eiCaIeZQR,,,,
T5yXrDEuwzL,20210731,oKRDJgPYyGs,iESY4hP4ZJe,H4eiCaIeZQR,,,,
T5yXrDEuwzL,20210731,rb1hxc5BXUq,iESY4hP4ZJe,H4eiCaIeZQR,,,,
T5yXrDEuwzL,20210731,U2e0Em0PoHU,iESY4hP4ZJe,H4eiCaIeZQR,,,,
T5yXrDEuwzL,20210731,Ml4vtfj16Zw,iESY4hP4ZJe,H4eiCaIeZQR,,,,
T5yXrDEuwzL,20210731,sR2V8vkNOPe,iESY4hP4ZJe,H4eiCaIeZQR,,,,
F7neHTcKur5,20210731,WKBa4jufxAL,iESY4hP4ZJe,H4eiCaIeZQR,13,,,
F7neHTcKur5,20210731,fIkkmz67QmR,iESY4hP4ZJe,H4eiCaIeZQR,7,,,
F7neHTcKur5,20210731,ewUgN5vdakS,iESY4hP4ZJe,H4eiCaIeZQR,,,,
F7neHTcKur5,20210731,WYjrgg8pNJG,iESY4hP4ZJe,H4eiCaIeZQR,,,,
